,comments
191,its like this in alot of places even kitchens.
192,"I&#39;m doing well at my current place and I think decently-compensated for the work I do and there&#39;s not really any redundancy for my position... yet. My company&#39;s long-term plan, and this is coming from several managers, is to get acquired by a larger company. As a result I&#39;m caught up on buying stock in the stock purchasing plan because I&#39;m an ops guy and will be extremely redundant in a larger company and can expect to be laid off almost immediately after getting acquired, so I might as well get compensated extra for it. This is in addition to the professional development work"
193,I worked in the industry myself my worst job was at Mircosoft i hated it though half of us quit at same time. Working for Indie studios is usually a better experience generally it&#39;s always people who been burnt in the industry and want to do better.
194,"That non compete seems very illegal, even in the U.S.  typically non competes only apply (if they even apply) to similar industries, and even then it can be very limited. They absolutely need to lawyer up, this is highly likely illegal under Uk law."
195,"You guys member when Blizzard made Warcraft 1, 2 and 3? i member... Before the massive Actiblizz, in the long long ago..."
196,&quot;can you explain for the audience at home...&quot;<br><br>Lmao reminds me of the norm MacDonald bit.
197,So glad I live in a country with very good labour laws and protections for employees (South Africa).
198,"I work as a QA engineer at a mid-size b2b software company (related to healthcare, so testing gets taken slightly more seriously there too maybe) -- I  think one of the biggest things that helps with the QA moral and mood is that there isn&#39;t &quot;a qa team (or a couple of them)&quot; and &quot;teams of developers&quot;, there&#39;s software engineering teams which are composed of a mix of devs and qas, each team has their own couple of QAs and their own devs, and we bond a lot more as a team. I feel included and I get a say in the design process for all of our projects right along side the developers. (*it also helps that the base payscale for both QA and Devs is the same too)<br><br>I know I could get paid more by other companies, but I&#39;ve been staying here a bit longer than I need to just because I really like my manager and I feel respected and appreciated and utilized. The atmosphere is a pretty good reason to stay - I don&#39;t know if I&#39;d want to roll the dice on the risk of getting somewhere much worse even if it came with a 10-20% raise instantly."
199,fam scale back the coffiee drinking<br><br>also BAN yourself from adult websites though parental lock and give your &quot;better half&quot; the access <br><br>avoid the coochi coochi behavior 100% for 6 months <br><br>no more processed food soda sugar corn syrip meat<br><br><br><br>see what happens
200,WOW. Pun intended. The evil we wade through to become the knight mare....
201,The comment on managers is SO damn true. Most people who quit a company (aside from people amicably leaving for more pay) quit the manager not the actual job.
202,"Yeah wisdom is the offspring of time, and suffering. There is no way around it."
203,"ive been saying this for years, HR is not your friend, Hr is not for you, HR is for the company"
204,They dropped the cheat code for a better world in this classic.
205,Where&#39;s the podcast?
206,"I wish my hair had transparency , &gt;`"
207,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=780"">13:00</a> It&#39;s really funny he says that when Amazon QA and Microsoft QA both outsource to the same company, and there damn sure aint no 250k jobs for testers"
208,"For anyone who missed the Streamer Awards, Thor did not shit his pants"
209,This story isn&#39;t far from many places in the film industry.  There&#39;s great EPs who treat you like family and then there&#39;s the savage monsters who walk in fuming about their fancy little shit taking all their frustration out on the showrunner and senior editors. It&#39;s a bad time when that happens and then it infects the whole production. Those are the gigs you walk away from as soon as possible to find another set of EPs who are passionate about what they&#39;re making.
210,My current situation is religious discrimination and HR retaliation.
211,VB is the best programming language :)
212,"what daF this dude waited for so long... the whole drama is completely his fault, he should have left the company after the first week of hr BS prolonging"
213,QAs are engineers PERIOD
214,And this is just another reason to never give blizzard another cent of my money.
215,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=628"">10:28</a> &quot;it&#39;s like in Brave New World&quot;, I laughed because I am currently reading it and i&#39;m 10 pages away from finishing it. <br>Funny coincidence."
216,Alot of people changing pronouns to was / were 😂
217,"See these are the people that are gone now, and were replaced by marketing dorks and shareholder ball-lickers"
218,"I&#39;ve played Starcraft64, WoW for 12 years, and OW1 from the day they let us play it at Blizzcon until OW2 until this day, and I had no idea who &quot;Mike whatever his last name is&quot; was. Just like I have no idea who the CEO of any major game company is. If I don&#39;t know them personally then I&#39;ve probably never heard of them and honestly don&#39;t give a eff about them, no offense."
219,"When Thor mentions to hire an outside team, Industrial Organizational Psychologist/Consultant team/group would probably work there."
220,A halfway house isn&#39;t for drinking. It can be but it&#39;s a middle ground for people getting out of prison
221,What was the communication between HR and  Mike Morhaime? How was he blinded by this type of managment?
222,yo wtf you live in rapid thats so close to me😂
223,"2009? Rent was pretty doable in california. Housing crash, so most houses were bought at a considerably cheaper rate. Rent for me for a 3 bedroom 2 bath and a yard was 1400 in so-cal. Granted LA prices were always wild. But still it is very county and city dependent. San Diego, LA areas are fucked then and now."
224,"I love the concept of running a tactical investigation of your own company to root out the toxic pockets of corruption and mismanagement. Maybe some people with the money and power could start a team that does hardcore investigative journalism type stories on some big companies, not exclusively within gaming, but across large corporations as a whole. Unroot the rot festering within so many of these large organizations, expose it to more of the public, and put some fear of god into the back of managers’ minds out there."
225,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2853"">47:33</a> Not the kind of lifeguard you were expecting"
226,"Worked for 2 years at ATVI QA, night shift, minimal wage and 72 hours a week. At the time shit seemed fun you know playing games but that fucked up my body so hard. All the leads pretty much doing cocaine just to keep up all the time."
227,this is why you join a union
228,This chat is so great.
229,"i am unemployed for a year because i got kinda burned out being programmer, expecting to know everything, no motivation encuragement nor even training from company side. I dont know i dont ask for much . I am from germany."
230,"Ah, the good old &quot;tales from the vault&quot;, as horrifying as ever.<br>Today it&#39;s arguably worse: The &quot;QA crew&quot; is paying for the privilege of finding bugs in &quot;early access&quot;. Why hire a QA team when you can make the customers fix the game they bought?"
231,QA can be done ahead of development depending on the feature and how insanely hard you are willing to work. This is also how the entire field of predictive economics is done. Most big firms have a an extremely well paid team in them who&#39;s job it is to create models and predict with a high degree of accuracy how something will work before it has actually been implemented. Good luck getting an employee on minimum wage to do that thtough.
232,"Yes, Blizzard is bad. But to pretend this guy (Chris Sayers) isn&#39;t a problem himself is ridiculous. He/Him? Massive problem! Worked on Overwatch 2? Massive problem. Unhirable guy for anyone who wants success. He should have been fired for this level of garbage."
233,"This dude needs to lawyer up. Absolutely a wage theft situation with the promotion, and I could even see some kind of collection against the enforcement of that VERY unenforceable non compete.<br><br>There&#39;s another lesson for people just entering the labor market. Just because something is in a contract, doesn&#39;t mean it&#39;s legal, or enforceable."
234,Man I wish I had a QA in my software team.
235,You ask how is it possible for this to happen despite someone being so high up against it. The answer: Public company.
236,"Lmao, “we can replace you, but pls don’t join the programming team” 😂.  Also, I literally find bugs in games and figure out how the bug in code works without looking at code, then confirm it by repeating the bugs based on my theory of what’s happening. QA is reverse engineering. Being able to conceptualize  where potential problems are in code based on unwanted behavior is valuable."
237,Imagine complaining about people having pronouns in their username get a life moron
238,i live in the UK and no they 100% cannot stop you from working at all... probably wuth a competitior etc.. but he would 100% be able to work..
239,Activision-blizzard is a shitty company!? NO Way! are you telling me on top of being the workplace harassment and workplace sexual harassment capital of the gaming world they also don&#39;t like to pay their employees? GOSH!
240,It’s sad that QA doesn’t get the respect they deserve. I worked for a game company that made a separate company for QA just so they didn’t have to give them health benefits.
241,A badly managed company is a death wish. Employee&#39;s with a twinkle in their eyes is the heart of a company. You mistreat that then you will lose what made the company great. You cannot replace passion!
242,;o
243,"And yet, how many people, after hearing these stories, are STILL supporting Blizzard by playing their games?"
244,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=4362"">1:12:42</a> O.O Omg, what the f did he do? &quot;It&#39;s a very firable offense today.&quot; He makes it sound really bad."
245,"the point about H1B isn&#39;t entirely correct, although for the most part yes. If your employment is terminated you have 60 days to find a new employer willing to sponsor the visa. This is obviously hard to do depending on the market and particularly when the market is very employer favoring, it can be intimidating to jeopardize your employment"
246,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=79"">1:19</a> In to the video , the great divide between the industry that built today and the one that is destroying today.  The video game industry was ab0ut , programmers, composers, art directors, story devs and input developers.  The people writing and directing the code were kings.  If the internet were bigger then , they would be megastars.  <br><br>At best ignorance is the cause of people asking for DEI in game development and the obvious is that they are POS."
247,Good now i know how to get pay rise thanks for info lads
248,"I was not expecting insane words of wisdom,  &quot;your not used to a normal human Pace so you think your underperforming&quot;(i wish I&#39;d heard that 2 years ago when i was putting 90 hours a week into my end of year project and i still try to put as much of my day including weekends into my work)"
249,HR is the kinda of people that make sane people into murderers
250,"&quot;.....It&#39;s a big club, and you ain’t in it. You and I are not in the big club. And by the way, it&#39;s the same big club they use to beat you over the head with all day long when they tell you what to believe. All day long beating you over the head in their media telling you what to believe, what to think and what to buy. The table is tilted folks. The game is rigged, and nobody seems to notice, nobody seems to care. Good honest hard-working people -- white collar, blue collar, it doesn’t matter what color shirt you have on -- good honest hard-working people continue -- these are people of modest means -- continue to elect these rich obscenity suckers who don’t give a obscenity  about them. They don’t give a obscenity  about you. They don’t give a obscenity  about you. They don&#39;t care about you at all -- at all -- at all. And nobody seems to notice, nobody seems to care. That&#39;s what the owners count on; the fact that Americans will probably remain willfully ignorant of the big red, white and blue obscenity  that&#39;s being jammed up their obscenity holes everyday. Because the owners of this country know the truth.....”― George Carlin"
251,"Programmers are Hitlers Nazi Elitist, der waffen SS they make everything job security dependent upon them hence all the hacker back doors, ways to sabotage should they get treated like QC, and many of them actually do sabotage because wall street owns the company and they give only 1 eff and it&#39;s 100% $$$$$$$$$$$$$$$$$$$$$$$$$$$$$ just barely good enough to make the customer buy, and then wall street never has to pay support costs because it was 100% scam ."
252,BOBBY KOTEX MACHINE...IT PUTS THE TAMPON ON THE EMPLOYEES MOUTHS TO COVER UP THEIR SCREAMS SO THE SHAREHOLDERS CAN&#39;T HEAR THEM.. first thing every gamer said when activision bought blizzard...there goes the neighborhood bleed the current hot gaming company dry ruin their ip and  eff over gamers world wide. diablo4 is chinese copycat watered down trash. seriously atari-konami....this was the start of that trend.
253,"I am willing to bet that GameDev companies who actually pay and treat their QAQC teams like human beings, and pay them a living wage, are the companies who have the least buggy releases."
254,So Cal is a special place
255,"BRO, I LOVE THOR. he is a very wise sage."
256,Lots of wisdom and experience being shared here. Thank you for using your platforms to raise awareness and teach people to value themselves more
257,Everyone stating pronouns online has lost their credibility instantly.
258,"Blizzard was great until they cut the north branch, soon as they did that they completely demolished the company."
259,"But damn, I never imagined Blizz admin to be this shitty."
260,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=475"">7:55</a>, agree that QA needs more tech background, and even some coding skills. Technology has evolved so much that you can code regression tests for a quick sanity test that your build is not broken everytime updates come in."
261,5mins in and im WTF is their management thinking?! get ahead of development? hah!
262,"Interrupting is bad when you are listening to a story. Makes you look like an a*<b>hole. Which you looked like. You have the guy on call, tell it to him later, not fish for &quot;fans&quot;. It&#39;s not about you dude, it is about the story. *blergh</b><br><br>Edit: No, can&#39;t watch this. Guy has blue hair, explains a lot. Worst Rec ever. It&#39;s like if Joe Rogan talked solo. What a nutmeg..."
263,Fuck HR go to the Labor Dept.
264,"Its insane how companies can treat their employees like this. These things would not stand in Sweden were I live, I cant speak for all professions but as far as I know every profession has their own union who would make pretty much everyone in that workplace go on a strike untill a solution is had. Wich is something I would expect in America aswell. Swedes are generally scared of confrontation but when it comes to salary and discrimination in the workplace we put our foot down. Americans on the other hand I feel like are not as scared of confrontation wich is why it suprises me that employees dont stand togheter in something like this. Without the workers the company gets put in shambles"
265,Get that shit in writing and don&#39;t trust HR. Should be the first thing we teach folks going into the corporate world.
266,"Non compete clauses can&#39;t be enforced if that person goes and work in a different industry. Companies can put that in a document,  but it will he unenforceable.<br>And he can bee doing the same work like engineering or managerial,  but if the company is a different industry,  it csnt be enforced"
267,"My wife and I are engineers and I&#39;m transitioning into software and it boggles our minds that QA is treated as borderline uneccesary in software. Everywhere else, QA is essential! QA is the Editor to the Developers writing. Without QA, nearly every project fails after the prototype phase."
268,"The premises of:<br>-HR is working against your interests<br>-Management will always try to give you the absolute minimum they think they can get away with giving you<br>-They will never make good on ANY unwritten promises, and any soft promises of future improvements need to be interpreted as outright lies to keep you quiet<br>-They will only make any movement whatsoever if you make it clear it&#39;s necessary to keep you there<br>are constants at every level of employment in the US. Hell if I know if it&#39;s better anywhere else, but management is never, ever your friend."
269,"Part of the reason fr the low wages might be us Indians in a way because theres like third party manpower thats very cheap because how money conversion worked the same cheap labour was like a great paying job over here, I have like experieced thors pain in working long hours fr cheap as an architect because the market is skewed that way, now modelers are paid more in general than designers because modelers work fr international clients ho pay cheap by their standards but is great payoff fr the workers"
270,"Honestly speaking i really enjoyed this talk, if i ever have employees, i will make sure that i treat them well"
271,PirateSoftware has a great radio voice..
272,"You know what I don’t get, and maybe it’s just that I’m autistic, but I don’t get why they weren’t emailing Mike every other day… like, again, maybe it’s my autism, but when there’s bullshit stinking up the place, I have no qualms about going over someone’s head. Maybe Id make some enemies, but ultimately, I’d probably have an okay relationship with the CEO/cofounder  that would protect me. I mean, don’t get me wrong, I’d try to tough it out a while, but the moment I’m being told something completely unacceptable and I <b>know</b> I have direct access to the cofounder, I’d use it. I mean… I’d probably be extremely apologetic and overly nice bc, again, autism, but I’d inform him of what’s going on regularly if that’s how often this stuff is happening…<br><br>Part of me wants to work there just to do this…"
273,Lol imagine having pronouns next to your name and no one bats an eye 😂 this timeline is a joke.
274,badges: welcome to what if feels like to be a an ethnic minority
275,"I mean this with much love, is this dude Charlie Kelly?"
276,I’m not a lawyer however it would depend on which legal jurisdiction they signed the contract in.<br><br>Is it under Uk or US law.<br><br>If it’s UK law then there’s no way barring someone from working is a legal practise…<br><br>Hope Chris got lawyered up asap.<br><br>WILD
277,This gives me a fresh perspective on my unfortunate dealings with my HR department...
278,"LOL the location Pay, I am in Canada when I worked fro a Oil and Gas company, my equivalents made 1.75 times more than me in US funds, where our dollar was 80% of the US dollar.... AND I  lived in a 5 times more expensive place :D and they claimed location pay :D"
279,thats hilariously based
280,Something that needs to be changed is the attitude toward people working in mediums like video games or other &quot;dream jobs&quot;. A job is still a job no matter what you are doing and it will take its toll on a person if they are pushed into doing things for pennies.
281,"I&#39;ve never heard of Heartbound or PirateSoftware until this video, now I&#39;m gonna buy any games you made for Xbox cuz I don&#39;t use Steam anymore"
282,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3726"">1:02:06</a> this sounds like Dollar Loan Center. Bunch of fking children."
283,&quot;Leadership is a lateral move&quot; ...In the words of the late Norm McDonald: &quot;No offense but it sounds like some fuckin commie gobbledygook&quot;
284,I&#39;m so confuse. So blizzard is toxic black company before Microsoft and then Microsoft cut fat and reworks studios but Microsoft still bad?
285,Yep its against EU law. I sued my employer for the same. I won - they paid 3x more because of this.
286,I doubt a lot of this
287,"It&#39;s like you bought a recipe for Pepsi, but decided to change its ingredients, and you are surprised that it doesn&#39;t taste good."
288,QA getting ahead of development is the dumbest thing I&#39;ve ever heard
289,This exact test was given to me by 2nd grade teacher (also in SoCal) I still think and thank her in my head almost every week for the lesson she taught me that day. Much lower stakes in 2nd grade tho;
290,"I feel like this was aggressively missing here, at least for a European: People form or join a union! HR is not on your side, but they ARE. It&#39;s not evil socialist wizardry, it is people that you can talk to if shady shit is happening at your workplace."
291,this is crazy I have been working at my new job for 2 years now and everyone there feels stuck and worthless because of how things are managed and 0 structure. everything they talked about in this is happening at my workplace right now. we are a much smaller company then blizzard and not in the same category of work but its insane how bad some workplaces can be so corruptly run. there is a new CEO in trying to clean up the company but the higher and middle management hide and cover alot of things from him. very very similar.
292,"I was expecting this story was from america, but the guy was working in Britain? Unlike the Americans, they have a labour party, what does it do? Nothing?"
293,"I know that &quot;director&quot; by name. Trust me, this isn&#39;t even one of the worst things he pulled."
294,"Not that shocking, I&#39;d say it&#39;s expected."
295,"I was QA for Volt VMC on call testing overnight for 8/hr... sometimes we had more people show up and they were sent home as we had too many testers... i then went to nintendo which was equally as horrible, had to turn the DS in to use the restroom, if a ROM was missing everyone was unable to leave until it was counted for at EOD. If you want to be in QA go into mobile devices for apps. Way more pay and your treated like a human."
296,Blizzard lies and scams there players. Why would they be any different to low level employees. There just garbage. Haven&#39;t played one of there games in years
297,"This is horrible to listen to, let stand how it has to be to live through...<br>Glad he got out of it in a positive light."
298,DXC Technologies did this to me as well. alot of big tech firms do this because they can.
299,"lol we are looking into this, well we did but the guy got fired"
300,"kek blizzard treets there employe like there botters, in ban waves."
301,"It&#39;s a great irony that those least motivated by money are the ones who make the most profitable games, the road to ruin is paved with corpo rats."
302,"UK labor laws? not since Thatcher killed Unions, jk jk"
303,This whole story reminds me of something I learned the hard way.  People don&#39;t leave bad jobs.  They leave bad bosses.
304,I was QA for Atari for 6 or so years. They never allowed us to walk anywhere in the building without an escort. We were regularly laid off. To avoid paying for healthcare. We all have those stories. There&#39;s more but I don&#39;t wanna type it.
305,"15 minutes in, another comparable indie dev, the people that made Palworld."
306,"QA is not dev.  Some may do dev-ish stuff, but they are not dev.<br><br>They should still be highly valued and trained well, especially to look for flaws not just &quot;happy use cases&quot; which so many don&#39;t do.  A good QA worker is worth a good wage because they can help prevent problems from slipping through.  Though don&#39;t confuse the two as the same.<br><br>That said, many devs are not as deep into it as they used to have to be in the past."
307,glad I live in the EU .. where u got &quot;rights&quot; at working lol ...<br>sad murica .. and now theres is trump ... GG folks ..
308,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2620"">43:40</a> IQ=70  uhhhhh just ENCRYPT the data durrrrr. top kek. man just DO NOT SEND that data to THIS CLIENT. jesus christ..."
309,You sound like your shilling for amazon when most people who are on the inside usually know that every game company is connected to the elites lol follow the money.
310,Who would work there
311,To be fair from my experience with QA in software they are idiots little more capable than monkeys but that is a good thing because we need those people to break and misuse the software.
312,Why does blue hair guy feel the need to explain everything that said. Comes off is very condescending.
313,"Well at least the people that don&#39;t work are rich. We have to stop supporting garbage people, garbage products. Invest in good."
314,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=239"">3:59</a> that just sounds like you are defrauding the company for the purpose of “increasing” the budget"
315,Peter principle strikes again.
316,Blizzard isn&#39;t special for years anymore. Way before MS bought them. I&#39;d argue they stopped making games long ago. All they do now is esport platforms. Nothing for people who want to play games for fun or relaxation.
317,I&#39;m building a nonprofit organization that doesn&#39;t screw over employees.
318,"I quit about a month after [redacted company] pulled the &#39;best we can do is 10% blah blah blah the economy blah blah blah corporate stuff&#39;. less than 24h after turning in my resignation I had an offer on the table, from HR with 2x pay and 2 more people to be added to my team by the end of the month. And they couldn&#39;t understand just how insulting that was and that I was even more convinced to never work for them again."
319,"Haven’t seen the whole video yet, but the VFX lead who was strung along about pay increases would probably have a case at an employment tribunal (UK courts for employees to take dodgy employers to)"
320,"Lol, it&#39;s exactly the same at google in 2024 :D"
321,that&#39;s insane.<br>thanks for the listen. I have learned.
322,use words that make you think they care &quot;modern empathy movement&quot; = Professional level gaslighting
323,This guy tries really hard to sound like markiplier.
324,The CEO that stopped in the middle of the speech sounds like a real piece of shit. I will never throw shade at QA ever again for my part.
325,Still want to know what that blackmail was about and how awful it actually was 😅
326,A grown adult man with green hair. How many c*cks did you eat for breakfast today?
327,"You know there is something seriously wrong with a company leadership, when you pass a test and permanently loose income for it."
328,Posting pronouns? Someone&#39;s compensating for something
329,Fantastic interview. Wow was this amazingly entertaining &amp; helpful. ❤🤙
330,"I&#39;m starting to feel a lot less terrible for giving Blizzard so much attitude on their forums and anywhere else.  Oh also, someone should perhaps look into Snail Games and Wildcard Studios cause there&#39;s likely a HUGE story there."
331,To those wondering about the lawyer if it&#39;s free to bring up a case. My wife being a lawyer it depends but usually it&#39;s free. I always highly recommend talk with a lawyer for work-related suits. A lot of them will even waive any fee to just hear it
332,hr ruins game company
333,who is mike?
334,"yeah and people wonder why new releases have so much bug and issues, they fire majority of the QA team and shove the task to players"
335,"This shit sounds comically evil. If i had know all this, i would have been surprised if blizzard&#39;s leadership <b>wasn&#39;t</b> sexual predators and degenerates."
336,I am só glad to have given up on Blizzard
337,Can&#39;t believe he didn&#39;t know who Mike Morhaime is.
338,The shock these guys have when this is a company with Apartheid rules and grape culture.
339,Blizzard peaked with Warcraft 2.
340,"This is not legal advice:<br><br>If an employer tries to pin you with a non-compete you should absolutely talk to a lawyer.<br><br>Many countries have laws that make non-competes effectively unenforceable because you cannot prevent a person from working and earning a living. In a lot of situations non-competes will be unenforceable unless shown to extend no further than is reasonably necessary to protect the employer&#39;s legitimate business interests.<br><br>On a related note you can&#39;t take things with you when you leave like code, documentation, files, etc but usually the law states that there&#39;s nothing a company can do to prevent you from leaving with what&#39;s in your head. In other words you can take your knowledge and experience with you a company can&#39;t stop you from doing that. (patents and IP are a different story)<br><br><br>This is in part why larger companies, and even F1 teams for example enforce &#39;gardening leave&#39; where someone who is leaving is forced to stay until their contract expires but they basically pay them to stay home and do nothing because the risk of their knowledge going to a competitor in the short term is more important.<br><br>In Canada Non-competes are now in a legal grey area because they are straight up illegal in Ontario.<br><br>I&#39;m not a lawyer, but if you are this kind of situation you should absolutely talk to one and see what your options are."
341,how much more does AAA game companies have to fuck people over before no one buys their products?
342,"That <i>&#39;Well, you shouldn&#39;t have signed the contract then 🙂&#39;</i> quote is terrifying from both sides.<br>Because you&#39;re effectively telling someone that they&#39;re not going to be able to make money for 3 months, who you just fired under horrible conditions, who has been worked to death for god knows how long. In case i need to spell it out for you, that&#39;s how you get someone with a &#39;propellant based force enhancer&#39; walking into the main office.<br>I have seen people, in the industry, who were in a mental place bad enough where i wouldn&#39;t have been surprised if something happened after getting sent off like that.<br><br>And living in Europe, i&#39;m 95% certain that this is in no way legal, or legally enforceable.<br>I would just ignore that, and find work anyways.<br>I&#39;d let them sue me, and lay out the months/years of financial abuse. Good luck getting a judge to sign off on barring you from working."
343,Remember that HR is not there to support and help employees. They are only there to minimize corporate blowback.
344,Cool video
345,So this guy wanted to be paid double what his UK peers were being paid for the same job?
346,blizzard is dogwater
347,"&quot;I want to work at Blizzard!&quot;<br>Blizzard: &quot;You think you do, but you don&#39;t&quot;"
348,"As a QA they don&#39;t want meticulous, they want you to finish ASAP and don&#39;t find too many mistakes. I have made the prodution side of multiple companies hate me because I&#39;m meticulous and find every Ef-up. They can complain about me but they can&#39;t get rid of me because I follow the procedures to the letter."
349,"You should only ever be paid for value to the company. Any other pay structure people should decline, it would soon stop."
350,"For the map hack, besides storing on server side, is there another solution? I assume the broker is also encrypting the units positions already?"
351,Bobby Cockdick is a pedophile
352,I love listening to 2 Java wizards
353,Dude my boss didnt do that for me but that is exactly what it was too. Mc donalds worked me like a dog for nothing. Then i got a real job and realised what normal work is. I always feel like im not doing enough. But in reality its job ptsd.
354,This video was AMAZING. This guy is just super smart... PLEASE if possible make another video with him about hacking!
355,"These kind of conversations are what terrify shitty corporations. They don&#39;t want people comparing notes because it will show how many of them are mistreating the people who enable them to garner so much wealth. Having been in the tech industry since the late 90s and through many layoffs, you learn to value good people you work with but to never be fooled by boiler plate crap they try to drill into in from your Day 1. They can call you family, Ohana, put up a nice thing about values or company culture (Wa, Makoto, Kaitakusha-seishin), in the end they will betray all of those values because they had a rough quarter and will not hold people accountable."
356,This was a cool video but I wish the guy would stop cutting Thor off to say absolutley nothing.
357,Maybe greenish hair isn&#39;t the best hair color when you are using a green screen lol
358,Pronouns on profile. Disregarded.
359,"Lifeguard with a switchblade? Tell me you worked at South Park without telling me you worked at South Park, lol!"
360,Blizzard had me until the kung fu panda expansion for WoW
361,Great vid
362,"So, yeah nothing has changed in QA since those days. It&#39;s still just as toxic as it used to be."
363,My respect for Mike Morhaime has increased exponentially from this YT video
364,I was one of the original employees of silicon &amp; synapse (since renamed blizzard) working on snes games and I can give you my opinion on how mike M would let that kind of culture get in.  Most people don&#39;t realize that Adham was the brains / driving force behind the studio.  Mike was a follower and went along with whatever Adham or B. Fargo would say.  I can&#39;t imagine Mike being the type of person who would demand things be this way or that.
365,"Fun Fact: The QA department at my work is probably considered the most important. If a mistake is found in a project, the QA Lead goes <b>hard</b> on <b>everyone</b> involved in the process - The engineer, the checker, the manager. Anyone with a hand gets in trouble if the project isn&#39;t spotless.<br><br>The dude isn&#39;t evil, though, he won&#39;t fire someone for a few mistakes, but he&#39;ll still tell people <b>to their face</b> that the work was unacceptable and they need to redo it. I&#39;m both terrified and in awe of him. Like, talk about dedication to quality!<br><br><b>That&#39;s</b> how a QA team should be treated. They <i>should</i> be the rockstars because if they aren&#39;t there to catch the mistakes, then the entire project suffers.<br><br>Edit: QA personnel <b>are</b> engineers. Anyone who says otherwise is a moron."
366,"Many people in the US, Canada and Europe that think you are living in a democracy and people have &quot;rights&quot;. But in reality you live in a bourgeoisie oligarchy, and the working laws violations are the best way to see it. The rich give orders, and ya&#39;ll just have to obey or leave"
367,"Did you know that the American Israel Public Affairs Committee (AIPAC) boasts on their website a 98% success rate for candidates that they back? They are also party agnostic, financing both Democrat and Republican candidates."
368,"5 9s is ABSURD so ambitious, best of luck"
369,"Every asterisk I had on what they said was covered before the end of the video, kudos to these incredible guys"
370,I&#39;m just gonna start drinking again. I&#39;ve literally done nothing with my life.
371,&quot;He/Him&quot;
372,"&quot;getting ahead of development&quot; to me means either have the testing expectations set before the code is done, or &quot;we are about to waste EVERYONE&#39;S time&quot;"
373,"Things start to fall apart because of an insidious mindset called Shareholder Primacy in most businesses today. As was clearly pointed out in this video, a company&#39;s priorities are its customers, its product or service and its staff. Get those things right and it really is hard to lose. Shareholder Primacy subverts these priorities. Now the focus of the company is short-term return on dividends so those in the C-Suite get their bonuses, all at the expense of cost-cutting by layoffs, plummeting staff morale and the negative effects that has on the product or service that filters down to pissed off customers.<br><br>We&#39;re in an economic realm where shareholders don&#39;t add value, they extract value and treat the businesses entity as a cash cow to aggressively milk and treat in an unsustainable, short-term-goal-oriented manner. Shareholder value is a result, not a strategy."
374,Its bonkers to me that a dev (me)  would treat a QA any different to a dev. In our team we have a QA tester embedded  and the pipeline just wouldnt function without that role
375,I learned to read and write to play diablo 1... blizzard was a part of my lfie since i was born. but eversince they went loco i stopped supporting
376,I embedded my QA team members in every dev team almost 10 years ago. It&#39;s ridiculous that people STILL have an adversarial position in these teams.
377,he asked how they get the talent back at blizzard after firing all those people. Blizzard used to be god. They havent made anything good since starcraft 2. The talent was already gone.
378,The first task on these is 1. Read all tasks. Then task 12 out of 20 is. Only do this task. Thisnis &quot;leave the room or raise your hand and say done&quot;
379,If you consider a hierarchical chart the line manager is presumably the person directly connected to their subordinate by a line. i.e. direct reports as you mentioned.
380,"You can tell from the quality of their products, that this is how they&#39;re managed. <br><br>We have a massive problem with retarded narcissists controlling all these &#39;elite&#39; institutions."
381,"The whole AAA game dev culture is odd. Game execs/managers do sketchy things...<br><br>But being a pompous QA tester? Classic. It&#39;s entry level. Historically you just blindly play a game. You are not important. Many testers I know have great skills, but the QA roles don&#39;t utilize them. They&#39;re disposable jumping off points to other places in the company."
382,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=685"">11:25</a> I’ve been on the outside looking in for my whole life. My family first pc came with Diablo and Star craft. As far as pc gaming goes, I’ve ALWAYS played blizzard games. But I always just thought that QA ARE devs, had no idea some of these companies don’t consider them devs. <br>As for my love of blizzard and their games, fuck ‘em."
383,Why does this guy keep interrupting him? Let him tell his story. Jeez Louise. This is so freaking frustrating.. let pirate speak 🙊
384,Sorry im not trusting a person with &quot;he/him&quot; in his bio.
385,"shut up and let the man talk, god damn. give the context either in the beginning, or in the end."
386,This seems like something a Programmer Union would help a lot with.
387,"elden ring is kings field 2.5 the press demo btw, nothing else. the founder always called kingsfield as the most important game for him"
388,"Both HR and for larger companys ER (Employee relations) are both for the company and not there for the people. The only real consideration that HR/Er has for the employee is risk to the business if management was to go for termination or whatever consequence management direction they are going, which is not thinking of the employee ultimately but thinking what the impact could be to the company."
389,"I&#39;m literally shook that they were paying Pirate the same as they were paying us in CS in Austin. Blizzard was supposed to be our dream job, and look what they did to our boy..."
390,no wonder the state of video games  are in the shitter
